Job Title,Company Name,Job Location,Easy Apply
"Data Analyst (Freelance)
Data Analyst (Freelance) with verification",Gini Talent,Egypt (Remote),Not Available
"BI & Reporting Specialist
BI & Reporting Specialist",Protiviti Middle East Member Firm,"Cairo, Egypt (On-site)",Easy Apply
"Senior Data Analyst
Senior Data Analyst",On-Hire,"6th of October, Cairo, Egypt (On-site)",Easy Apply
"Data Scientist
Data Scientist",SSC HR Solutions,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"Senior BI Analyst
Senior BI Analyst",Advansys,"6th of October, Cairo, Egypt (Hybrid)",Easy Apply
"Junior Data Scientist
Junior Data Scientist",Halan - حالا,"Giza, Al Jizah, Egypt (On-site)",Easy Apply
"Data Analytics - Analyst
Data Analytics - Analyst",SDG Group Middle East,"Cairo, Egypt (Hybrid)",Not Available
"Data Analyst
Data Analyst with verification",noon,"New Cairo, Cairo, Egypt (On-site)",Easy Apply
"Product Analyst
Product Analyst",DrBalcony,Egypt (Remote),Easy Apply
"Data Business Analysis Specialist/ Analyst/ Senior Analyst
Data Business Analysis Specialist/ Analyst/ Senior Analyst",Banque Misr,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"Data Scientist
Data Scientist",PROVEN Consult,"Cairo, Egypt (Hybrid)",Easy Apply
"Data Scientist
Data Scientist",e& global services,"Cairo, Egypt (Hybrid)",Easy Apply
"Data Analyst
Data Analyst",Linah Farms,"El Wahat El Bahariya, Al Jizah, Egypt (On-site)",Easy Apply
"Data Scientist
Data Scientist",SWATX,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"Data Analyst
Data Analyst",Telda,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"Senior Data Analyst
Senior Data Analyst",Fly Pie Ltd,"Cairo, Cairo, Egypt",Not Available
"Data Scientist
Data Scientist",Nawy,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"Corporate Senior Data Scientist
Corporate Senior Data Scientist with verification",EFG Holding,"Cairo, Egypt (On-site)",Easy Apply
"Junior Data Analyst
Junior Data Analyst",MaxAB,"Cairo, Cairo, Egypt (On-site)",Not Available
"R&D And Business Intelligence Specialist
R&D And Business Intelligence Specialist",BlackStone eIT,"Cairo, Cairo, Egypt (Remote)",Easy Apply
"I&D Analyst- Portfolio
I&D Analyst- Portfolio",Envision Employment Solutions,"New Cairo, Cairo, Egypt (On-site)",Not Available
"Senior Data Analyst
Senior Data Analyst with verification",Orange Business,"Cairo, Egypt (Hybrid)",Easy Apply
"Business Intelligence Specialist
Business Intelligence Specialist",Misr Technology Services,"Heliopolis, Cairo, Egypt (On-site)",Easy Apply
"Data Analyst
Data Analyst with verification",dubizzle Egypt,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"Growth Web Analytics Intern
Growth Web Analytics Intern with verification",NoGood,Egypt (Remote),Easy Apply
"Junior Data Analyst
Junior Data Analyst",Halan - حالا,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"Data Assessor
Data Assessor with verification",Gini Talent,Egypt (Remote),Not Available
"BI Analyst - Extraction
BI Analyst - Extraction",Advansys,"6th of October, Cairo, Egypt (Hybrid)",Easy Apply
"Data Analytics - Consultant
Data Analytics - Consultant",SDG Group Middle East,"Cairo, Egypt (Hybrid)",Not Available
"Data Operation & Support Specialist/ Analyst/ Senior Analyst
Data Operation & Support Specialist/ Analyst/ Senior Analyst",Banque Misr,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"Data Scientist
Data Scientist",SWATX,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"Senior Data Analyst
Senior Data Analyst",Taager,"Cairo, Cairo, Egypt (On-site)",Not Available
"Growth Data Analyst
Growth Data Analyst",Homzmart,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"Senior Data Scientist
Senior Data Scientist with verification",Orange Egypt,"6th of October, Cairo, Egypt (On-site)",Not Available
"Data Analyst
Data Analyst",COA Holding Company,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"Regional E-Commerce Data Analyst
Regional E-Commerce Data Analyst with verification",Al Ahram Beverages Company,"Cairo, Egypt (Hybrid)",Not Available
"Senior Data Scientist
Senior Data Scientist",University of the People,Egypt (Remote),Easy Apply
"Senior Data Analyst
Senior Data Analyst with verification",Infomineo,"Cairo, Egypt (Hybrid)",Not Available
"Operations Analyst
Operations Analyst with verification",DiDi,"Cairo, Cairo, Egypt (On-site)",Not Available
"Business Intelligence Analyst
Business Intelligence Analyst with verification","Nalco Water, An Ecolab Company","Cairo, Cairo, Egypt (On-site)",Not Available
"Data Analyst Section Head
Data Analyst Section Head",PetroApp | بتروآب,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"Senior Data Scientist
Senior Data Scientist",Breadfast,"Cairo, Cairo, Egypt (On-site)",Not Available
"Planning Analyst
Planning Analyst with verification",Amazon,"Cairo, Cairo, Egypt",Not Available
"Reporting Analyst
Reporting Analyst with verification",Foundever,"Cairo, Cairo, Egypt (On-site)",Not Available
"Decision Support Manager - MIS
Decision Support Manager - MIS with verification",INTELCIA,"Cairo, Egypt (On-site)",Easy Apply
"Senior Manager - Insights
Senior Manager - Insights with verification",PepsiCo,"Cairo, Egypt (On-site)",Not Available
"Data Scientist
Data Scientist with verification",Xebia,"Cairo, Egypt (On-site)",Easy Apply
"Senior Data Analyst
Senior Data Analyst",MaxAB,"Cairo, Cairo, Egypt (On-site)",Not Available
"Data Analyst
Data Analyst",Cartona,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"Data Scientist
Data Scientist with verification",2P Perfect Presentation,"Cairo, Egypt (On-site)",Easy Apply
"BI Reporting Analyst (1 to 3 years of experience)
BI Reporting Analyst (1 to 3 years of experience)",Advansys,"6th of October, Cairo, Egypt (Hybrid)",Easy Apply
"Data Analytics - Senior Consultant
Data Analytics - Senior Consultant",SDG Group Middle East,"Cairo, Egypt (Hybrid)",Not Available
"Data Integration Specialist/ Analyst/ Senior Analyst
Data Integration Specialist/ Analyst/ Senior Analyst",Banque Misr,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"Supervisor, Big Data Modeler
Supervisor, Big Data Modeler with verification",Orange Egypt,Egypt (On-site),Not Available
"Performance Management Senior Analyst
Performance Management Senior Analyst",Halan - حالا,"Giza, Al Jizah, Egypt (On-site)",Easy Apply
"Operations Analyst
Operations Analyst with verification",DiDi,"Cairo, Cairo, Egypt (On-site)",Not Available
"Junior Data Scientist
Junior Data Scientist",MaxAB,"Cairo, Cairo, Egypt (On-site)",Not Available
"Field Data Collector (Freelance)
Field Data Collector (Freelance) with verification",dubizzle Egypt,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"BI & Big Data Quality Specialist
BI & Big Data Quality Specialist with verification",Vodafone,"Giza, Al Jizah, Egypt (Hybrid)",Not Available
"Data Engineer / Analyst
Data Engineer / Analyst with verification",Foundever,"Cairo, Cairo, Egypt (On-site)",Not Available
"Data Scientist
Data Scientist with verification",IBM,"Giza, Al Jizah, Egypt (On-site)",Not Available
